name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
MWSC 4312,,,256.627,-19.445,3.035,12.659,0.03,0.14,0.22,7,65,133,1384,1.072,8.2,,AIPk,,,,OPEN STAR CLUSTER
NGC 6793,,,290.825,22.14,56.172,3.303,0.02,0.135,0.22,5,59,133,724,0.312,8.695,,COCD,,,,OPEN STAR CLUSTER
Teutsch 124,,,304.587,31.21,70.245,-2.608,0.018,0.053,0.125,12,36,133,2103,1.82,9.395,,DIAS,,,,OPEN STAR CLUSTER
Collinder 421,,,305.787,41.695,79.429,2.546,0.02,0.11,0.21,2,64,133,758,0.312,9.08,0.03,COCD,,,,OPEN STAR CLUSTER
ASCC 117,,,331.35,62.27,104.889,5.365,0.035,0.125,0.245,6,42,133,1500,0.175,6.225,,COCD,,,,OPEN STAR CLUSTER
FSR 0596,r,o,37.432,58.1,135.637,-2.326,0.02,0.065,0.135,6,47,132,1417,0.521,9.15,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0904,,,91.763,19.022,191.026,-0.763,0.01,0.045,0.095,6,36,132,1427,0.396,7.8,,FPRO,,,,OPEN STAR CLUSTER
FSR 1194,,,106.095,-12.005,225.084,-2.62,0.02,0.115,0.185,7,66,132,1184,0.416,7.815,,FPRO,,,,OPEN STAR CLUSTER
Collinder 197,n,o,131.213,-41.233,261.486,0.992,0.02,0.11,0.22,4,52,132,881,0.548,7.2,,DIAS,,,,NEBULA
NGC 3330,,,159.69,-54.115,284.183,3.855,0.015,0.085,0.145,5,51,132,1250,0.05,8.565,0.039,COCD,,,,OPEN STAR CLUSTER
MWSC 4170,,,204.202,-39.185,312.454,22.846,0.02,0.125,0.22,3,51,132,1548,0.312,9.38,0.024,AIPk,,,,OPEN STAR CLUSTER
FSR 0880,r,c,95.76,24.532,187.941,5.121,0.02,0.08,0.145,4,53,131,2473,0.416,9,,FPOS,,,,OPEN STAR CLUSTER
FSR 1051,,,103.035,3.655,209.758,1.822,0.02,0.09,0.165,2,46,131,1180,0.437,8.79,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1144,,,104.316,-6.637,219.503,-1.732,0.012,0.065,0.13,5,40,131,1737,0.312,8.18,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1450,,,134.602,-46.303,266.951,-0.355,0.018,0.06,0.115,7,46,131,1379,1.562,8.4,,FPRO,,,,OPEN STAR CLUSTER
Collinder 205,,,135.135,-48.99,269.215,-1.847,0.01,0.07,0.14,2,48,131,1458,0.874,7.03,,COCD,,,,OPEN STAR CLUSTER
NGC 3201,g,o,154.404,-46.412,277.229,8.641,0.04,0.16,0.24,0,58,131,4904,0.239,10.1,,HARR,glo,-1.445,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 3960,,,177.66,-55.67,294.379,6.189,0.035,0.1,0.17,13,58,131,1884,0.167,9.11,,DIAS,var,0.02,0.04,OPEN STAR CLUSTER
Ruprecht 98,,,179.715,-64.588,297.327,-2.29,0.02,0.14,0.28,1,33,131,610,0.16,8.8,,COCD,,,,OPEN STAR CLUSTER
FSR 1625,,,190.2,-58.41,301.535,4.433,0.025,0.115,0.195,5,50,131,2269,0.687,8.875,,FPOS,,,,OPEN STAR CLUSTER
NGC 6756,,,287.187,4.717,39.105,-1.687,0.015,0.06,0.11,5,48,131,1951,1.083,8.4,,DIAS,,,,OPEN STAR CLUSTER
FSR 0956,,,93.105,13.02,196.908,-2.532,0.02,0.08,0.16,2,44,130,2180,0.958,8.1,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1082,,,100.028,-1.745,213.195,-3.316,0.02,0.08,0.165,6,38,130,4040,0.833,8.84,,FPRO,,,,OPEN STAR CLUSTER
FSR 1484,,,142.446,-50.682,273.702,0.377,0.012,0.06,0.1,4,55,130,1847,0.833,8.645,,FPRO,,,,OPEN STAR CLUSTER
IC 2948,,,174.803,-63.51,294.981,-1.759,0.02,0.1,0.17,7,44,130,2796,0.521,6.6,,COCD,,,,OPEN STAR CLUSTER
DBSB 101,a,o,242.64,-49.013,333.004,1.875,0.02,0.065,0.115,3,43,130,1076,1.062,8.05,,FPRO,,,,OB ASSOCIATION/HII REGION
Basel 12,,,317.61,46.235,88.289,-1.237,0.01,0.06,0.1,3,49,130,5664,0.729,8.925,0.027,DIAS,,,,OPEN STAR CLUSTER
Stock 24,,,9.941,61.965,121.56,-0.876,0.02,0.06,0.145,5,29,129,2400,0.55,7.985,,DIAS,,,,OPEN STAR CLUSTER
Berkeley 32,,,104.528,6.435,207.952,4.407,0.018,0.065,0.125,12,50,129,4996,0.021,9.45,,DIAS,,-0.29,0.04,OPEN STAR CLUSTER
ASCC 46,,,124.095,-48.47,264.39,-7.333,0.018,0.1,0.19,3,43,129,899,0.1,7.8,,COCD,,,,OPEN STAR CLUSTER
FSR 1608,,,185.31,-57.185,298.83,5.446,0.018,0.075,0.14,5,47,129,7354,0.521,9.2,,FPOS,,,,OPEN STAR CLUSTER
Collinder 269,,,200.963,-66.16,306.204,-3.494,0.02,0.125,0.21,6,49,129,1870,0.437,8.55,,COCD,,,,OPEN STAR CLUSTER
NGC 5593,,,216.405,-54.8,316.31,5.607,0.025,0.075,0.135,7,41,129,808,0.042,8.77,,COCD,,,,OPEN STAR CLUSTER
NGC 6254,g,o,254.287,-4.1,15.137,23.076,0.06,0.155,0.265,12,78,129,4405,0.281,10.1,,HARR,glo,-1.245,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0129,,,291.743,13.975,49.391,-1.332,0.011,0.06,0.1,3,65,129,1305,1.312,8.48,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0188,,,300.495,33.917,70.632,1.758,0.015,0.055,0.1,7,36,129,3354,1.312,8.2,0.1,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0288,r,c,317.04,49.01,90.064,0.93,0.015,0.047,0.1,5,32,129,1734,0.791,8.47,,DIAS,irc,,,OPEN STAR CLUSTER
AH03 J0822-36.4,,,125.535,-36.405,254.975,0.316,0.018,0.09,0.14,4,59,128,1634,0.416,8.915,,DIAS,,,,OPEN STAR CLUSTER
NGC 3293,,,158.955,-58.23,285.853,0.072,0.02,0.085,0.135,10,73,128,2441,0.333,6.75,,COCD,,,,OPEN STAR CLUSTER
FSR 1697,,,226.675,-56.517,320.819,1.583,0.02,0.062,0.105,10,52,128,912,0.625,8.06,,DIAS,irc,,,OPEN STAR CLUSTER
MWSC 5273,,,226.767,-36.361,331.287,18.934,0.018,0.085,0.165,6,48,128,1599,0.25,9.445,0.033,ARIn,,,,OPEN STAR CLUSTER
MWSC 4218,,,235.11,-33.475,338.914,17.337,0.025,0.14,0.25,4,46,128,993,0.729,9.1,,AIPk,,,,OPEN STAR CLUSTER
FSR 1000,,,93.067,5.185,203.805,-6.288,0.02,0.09,0.16,3,45,127,1917,0.271,8.79,0.057,FPOS,,,,OPEN STAR CLUSTER
Ruprecht 21,,,111.735,-31.155,244.555,-6.8,0.02,0.09,0.18,6,48,127,3894,0.77,8.65,,DIAS,non,,,OPEN STAR CLUSTER
Haffner 10,,,112.144,-15.365,230.799,1.011,0.02,0.08,0.135,9,60,127,4873,0.5,9.305,,DIAS,,,,OPEN STAR CLUSTER
FSR 1720,,,227.873,-37.365,331.516,17.614,0.02,0.1,0.185,2,45,127,3066,0.208,9.33,,FPOS,,,,OPEN STAR CLUSTER
FSR 1709,,,239.37,-54.375,327.933,-0.795,0.02,0.095,0.15,5,51,127,1893,0.666,8.5,,FPRO,,,,OPEN STAR CLUSTER
FSR 0198,,,300.618,35.685,72.187,2.608,0.02,0.075,0.14,5,40,127,2303,0.895,6.56,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 2413,,,113.265,-12.99,229.235,3.103,0.015,0.08,0.185,3,24,126,1341,0.042,8.655,,COCD,,,,OPEN STAR CLUSTER
Haffner 13,,,115.118,-30.043,244.97,-3.711,0.02,0.155,0.325,2,36,126,714,0.05,7.52,0.275,COCD,,,,OPEN STAR CLUSTER
ESO 175-06,,,214.695,-56.89,314.683,3.976,0.02,0.11,0.195,6,32,126,586,0.187,8.6,,COCD,,,,OPEN STAR CLUSTER
NGC 5606,,,216.945,-59.63,314.841,0.996,0.02,0.06,0.115,7,45,126,2141,0.458,7.35,,COCD,,,,OPEN STAR CLUSTER
NGC 5715,,,220.875,-57.567,317.533,2.093,0.015,0.06,0.115,4,48,126,1490,0.468,8.97,0.028,DIAS,,,,OPEN STAR CLUSTER
MWSC 4330,,,259.26,-15.08,8.187,13.026,0.023,0.12,0.175,8,73,126,1434,0.833,8.55,,AIPk,,,,OPEN STAR CLUSTER
FSR 0145,r,o,274.587,29.11,56.416,19.494,0.035,0.165,0.305,4,48,126,1607,0.25,9.185,0.08,FPOS,,,,OPEN STAR CLUSTER
ASCC 128,,,350.28,54.67,110.033,-5.924,0.02,0.1,0.23,3,30,126,900,0.2,8.454,0.016,COCD,,,,OPEN STAR CLUSTER
Aveni-Hunter 1,,,354.293,48.55,110.463,-12.515,0.05,0.15,0.4,4,32,126,500,0.1,8.186,0.173,COCD,,,,OPEN STAR CLUSTER
Juchert-Saloran 1,,,4.082,59.962,118.546,-2.61,0.025,0.06,0.125,16,38,125,5326,0.833,9.3,,DIAS,,,,OPEN STAR CLUSTER
ASCC 73,,,189.09,-67.25,301.471,-4.421,0.022,0.14,0.245,4,48,125,650,0.05,8.19,,COCD,,,,OPEN STAR CLUSTER
Pismis 18,,,204.232,-62.065,308.233,0.338,0.012,0.085,0.15,2,51,125,2309,0.521,8.975,,DIAS,,,,OPEN STAR CLUSTER
FSR 1719,,,238.44,-49.51,330.612,3.307,0.01,0.06,0.11,4,43,125,1113,0.208,9.4,,FPRO,,,,OPEN STAR CLUSTER
FSR 1716,,,242.67,-53.75,329.797,-1.611,0.025,0.085,0.16,10,38,125,2396,1.874,9.225,,FPRO,,,,OPEN STAR CLUSTER
MWSC 4463,,,284.73,-64.265,331.554,-25.047,0.025,0.13,0.21,4,49,125,1406,0.344,9.15,,AIPk,,,,OPEN STAR CLUSTER
King 16,,,10.965,64.18,122.107,1.32,0.02,0.065,0.13,9,45,124,2325,0.833,7.8,,DIAS,,,,OPEN STAR CLUSTER
NGC 609,,,24.095,64.535,127.74,2.084,0.03,0.08,0.125,21,71,124,4499,0.75,9.15,,DIAS,,,,OPEN STAR CLUSTER
FSR 0744,,,74.865,37.965,167.116,-2.799,0.02,0.07,0.155,6,32,124,1250,0.7,8.85,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0826,,,85.721,28.957,179.669,-0.499,0.012,0.055,0.12,2,27,124,2100,1.149,7.3,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0974,,,98.145,12.543,199.638,1.583,0.012,0.062,0.135,5,30,124,2308,0.573,8.91,0.031,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1228,,,109.297,-15.795,229.884,-1.61,0.018,0.065,0.125,8,39,124,4186,0.687,6.75,,FPRO,,,,OPEN STAR CLUSTER
Mamajek 4,,,276.533,-50.955,343.829,-16.999,0.09,0.435,0.55,5,83,124,386,0.05,8.815,0.062,DIAS,,,,OPEN STAR CLUSTER
BDSB 21,,,316.339,49.657,90.235,1.703,0.018,0.04,0.1,8,21,124,1285,1.103,8.9,,BOPN,irc,,,OPEN STAR CLUSTER
Berkeley 95,,,337.072,59.14,105.473,1.209,0.02,0.06,0.12,11,46,124,1800,1.21,8.55,,DIAS,,,,OPEN STAR CLUSTER
ASCC 126,,,346.455,51.07,106.524,-8.406,0.03,0.15,0.28,4,47,124,900,0.1,7.451,,COCD,,,,OPEN STAR CLUSTER
FSR 0882,,,82.001,16.915,188.07,-9.818,0.02,0.1,0.2,4,43,123,1887,0.375,9.35,0.025,FPOS,,,,OPEN STAR CLUSTER
Czernik 23,,,87.525,28.9,180.538,0.82,0.018,0.055,0.14,7,30,123,2449,0.521,8.48,,DIAS,,,,OPEN STAR CLUSTER
Trumpler 6,,,111.608,-24.19,238.324,-3.633,0.02,0.075,0.155,8,38,123,2839,0.729,8.615,0.056,DIAS,,,,OPEN STAR CLUSTER
Ruprecht 47,,,120.585,-31.07,248.258,-0.185,0.02,0.09,0.195,3,27,123,2892,0.291,8.18,0.038,COCD,,,,OPEN STAR CLUSTER
Ruprecht 56,,,123.165,-40.485,257.318,-3.505,0.01,0.11,0.305,1,21,123,429,0.121,8.745,,COCD,,,,OPEN STAR CLUSTER
vdBergh-Hagen 23,a,c,123.495,-36.334,253.993,-1.003,0.018,0.15,0.32,2,31,123,414,0.05,7.14,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 4833,g,o,194.892,-70.877,303.604,-8.016,0.04,0.14,0.205,2,60,123,6595,0.323,10.1,,HARR,glo,-1.75,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 1646,,,199.118,-54.2,306.628,8.492,0.02,0.07,0.12,8,50,123,4784,0.625,9.35,,FPOS,,,,OPEN STAR CLUSTER
NGC 5288,r,c,207.183,-64.695,309.008,-2.501,0.018,0.06,0.12,4,34,123,5086,0.833,9.1,,DIAS,,,,OPEN STAR CLUSTER
NGC 6293,g,o,257.543,-26.582,357.62,7.834,0.035,0.075,0.155,4,32,123,9474,0.364,10.1,,HARR,glo,-1.99,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Dolidze 53,,,296.577,24.632,60.916,-0.103,0.015,0.085,0.125,2,57,123,1392,0.874,7.335,,DIAS,ass,,,OPEN STAR CLUSTER
Harvard 20,,,298.3,18.323,56.283,-4.68,0.015,0.085,0.135,3,52,123,1604,0.229,8.05,,DIAS,,,,OPEN STAR CLUSTER
FSR 0465,,,357.755,66.188,116.878,4.029,0.025,0.06,0.11,17,54,123,4601,1.199,9.09,0.02,FPOS,,,,OPEN STAR CLUSTER
FSR 0521,,,13.245,59.835,123.126,-3.036,0.015,0.06,0.125,5,36,122,2534,0.562,9.21,0.053,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0728,r,c,67.47,38.5,162.919,-6.864,0.02,0.1,0.16,5,66,122,1816,0.791,8.255,0.1,FPOS,,,,OPEN STAR CLUSTER
Dolidze 22,,,95.809,4.59,205.616,-4.151,0.025,0.09,0.16,7,43,122,1775,0.479,8.37,,DIAS,dub,,,OPEN STAR CLUSTER
FSR 1080,,,104.565,0.884,212.923,1.921,0.02,0.09,0.15,7,47,122,1753,0.562,8.37,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 1401,,,129.262,-42.365,261.489,-0.851,0.015,0.065,0.115,4,45,122,4178,1.228,6.75,,FPRO,,,,OPEN STAR CLUSTER
Pismis 8,,,130.415,-46.267,265.089,-2.572,0.015,0.06,0.115,5,43,122,1363,0.708,7.43,,DIAS,,,,OPEN STAR CLUSTER
FSR 1585,r,o,168.46,-64.477,292.659,-3.57,0.012,0.075,0.125,2,46,122,4465,0.468,9.145,0.026,FPRO,,,,OPEN STAR CLUSTER
MWSC 4229,,,239.123,-31.72,342.792,16.478,0.035,0.14,0.255,6,41,122,1148,0.5,9.015,,AIPk,,,,OPEN STAR CLUSTER
MWSC 4287,,,250.65,-24.46,355.49,14.064,0.03,0.13,0.23,4,50,122,2524,1.832,7.92,,AIPk,,,,OPEN STAR CLUSTER
NGC 6596,,,274.38,-16.65,14.304,-0.282,0.02,0.11,0.2,2,47,122,932,0.167,8.6,,COCD,,,,OPEN STAR CLUSTER
ASCC 99,,,282.277,-18.74,15.887,-7.928,0.02,0.125,0.23,2,45,122,679,0.125,8.75,,COCD,,,,OPEN STAR CLUSTER
ASCC 110,,,300.735,33.57,70.444,1.405,0.02,0.14,0.23,2,33,122,852,0.15,8.55,,COCD,,,,OPEN STAR CLUSTER
NGC 2384,,,111.285,-21.02,235.385,-2.397,0.02,0.08,0.165,2,36,121,2074,0.396,7.13,,COCD,,,,OPEN STAR CLUSTER
DBSB 6,,,112.493,-19.1,234.237,-0.486,0.01,0.055,0.11,2,35,121,4152,1.27,6.55,,BOPN,irc,,,OPEN STAR CLUSTER
FSR 1663,,,205.27,-60.197,309.068,2.082,0.01,0.045,0.095,4,34,121,1513,0.625,8.15,,FPRO,,,,OPEN STAR CLUSTER
FSR 0284,,,314.125,49.367,89.069,2.593,0.015,0.065,0.115,6,44,121,1887,0.687,8.775,,DIAS,irc,,,OPEN STAR CLUSTER
Berkeley 91,,,317.715,48.535,90.018,0.281,0.02,0.06,0.12,8,39,121,9471,1.299,8.4,,DIAS,,,,OPEN STAR CLUSTER
ASCC 123,m,o,340.598,54.25,104.714,-3.993,0.1,0.52,1,4,37,121,250,0.15,8.191,,COCD,,,,UNIDENTIFIED
Stock 4,,,28.282,57.01,131.288,-4.857,0.035,0.095,0.21,8,28,120,900,0.05,8.6,,COCD,,,,OPEN STAR CLUSTER
Teutsch 11,,,96.347,13.867,197.652,0.646,0.013,0.065,0.155,3,29,120,5302,0.708,8.8,,DIAS,,,,OPEN STAR CLUSTER
ASCC 25,,,101.385,24.595,190.186,9.727,0.02,0.115,0.21,1,37,120,1989,0.333,9.1,,COCD,,,,OPEN STAR CLUSTER
FSR 1283,,,111.225,-23.871,237.877,-3.791,0.012,0.06,0.11,1,35,120,4192,0.895,6.8,,FPRO,,,,OPEN STAR CLUSTER
ESO 311-21,,,120.424,-41.583,257.138,-5.839,0.01,0.06,0.125,2,29,120,5118,0.791,9.3,,DIAS,,,,OPEN STAR CLUSTER
vdBergh-Hagen 73,,,142.965,-50.215,273.624,0.944,0.018,0.06,0.105,4,55,120,2269,0.687,8.9,,DIAS,,,,OPEN STAR CLUSTER
FSR 1593,,,171.96,-68.735,295.441,-7.088,0.025,0.075,0.14,13,44,120,1825,0.291,9.455,0.076,FPOS,,,,OPEN STAR CLUSTER
Ruprecht 99,,,180.87,-63.86,297.679,-1.478,0.012,0.12,0.21,1,46,120,719,0.052,8.375,,COCD,,,,OPEN STAR CLUSTER
FSR 1610,,,186.067,-56.165,299.132,6.506,0.018,0.075,0.125,6,55,120,4640,0.521,9.3,,FPOS,,,,OPEN STAR CLUSTER
FSR 1676,r,c,210.075,-49.765,314.186,11.596,0.012,0.095,0.145,3,54,120,4570,0.312,9.45,,FPOS,,,,OPEN STAR CLUSTER
Trumpler 23,,,240.218,-53.533,328.859,-0.479,0.012,0.1,0.165,2,55,120,2194,0.604,8.96,0.03,DIAS,,,,OPEN STAR CLUSTER
NGC 6235,g,o,253.356,-22.177,358.918,13.518,0.02,0.07,0.15,2,30,120,11495,0.312,10.1,,HARR,glo,-1.145,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0503,,,7.357,68.894,120.942,6.107,0.035,0.06,0.14,15,26,119,4701,0.799,9.18,,FPOS,,,,OPEN STAR CLUSTER
FSR 0553,,,25.235,64.515,128.227,2.153,0.025,0.06,0.12,14,44,119,7500,0.999,8.6,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0690,,,75.735,50.1,157.906,5.137,0.018,0.075,0.14,5,42,119,1711,0.416,9,,FPOS,,,,OPEN STAR CLUSTER
FSR 1200,,,106.995,-12.464,225.896,-2.048,0.02,0.08,0.17,11,38,119,1297,0.562,8.715,,FPRO,,,,OPEN STAR CLUSTER
NGC 2354,,,108.535,-25.693,238.369,-6.798,0.015,0.08,0.135,3,46,119,2865,0.666,8.61,,COCD,,-0.109,0.094,OPEN STAR CLUSTER
Waterloo 7,,,111.532,-15.093,230.278,0.621,0.02,0.115,0.21,3,45,119,2932,0.354,8.53,0.032,DIAS,,,,OPEN STAR CLUSTER
NGC 5897,g,o,229.351,-21.01,342.946,30.294,0.035,0.165,0.285,6,63,119,12502,0.094,10.1,,HARR,glo,-1.745,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 5986,g,o,236.512,-37.786,337.022,13.269,0.03,0.09,0.165,0,33,119,10517,0.281,10.1,,HARR,glo,-1.345,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 6639,,,277.74,-13.14,18.926,-1.508,0.02,0.1,0.17,2,51,119,765,0.25,8.93,,COCD,,,,OPEN STAR CLUSTER
Teutsch 7,,,296.925,24.255,60.75,-0.566,0.012,0.06,0.108,4,44,119,4929,1.666,8.65,,DIAS,,,,OPEN STAR CLUSTER
FSR 0182,,,297.938,33.535,69.201,3.378,0.01,0.055,0.12,2,32,119,4569,0.625,9,,DIAS,irc,,,OPEN STAR CLUSTER
Teutsch 74,,,326.415,58.095,100.364,3.611,0.017,0.055,0.14,8,37,119,3330,1.049,9.05,,DIAS,,,,OPEN STAR CLUSTER
ASCC 4,,,13.32,61.6,123.151,-1.271,0.025,0.085,0.21,4,25,118,550,0.25,8.65,,COCD,,,,OPEN STAR CLUSTER
FSR 1302,,,113.595,-26.325,241.063,-3.074,0.018,0.08,0.155,5,38,118,2262,0.552,9.1,0.042,FPRO,,,,OPEN STAR CLUSTER
Bochum 10,,,160.613,-59.115,287.036,-0.283,0.02,0.11,0.18,5,51,118,2017,0.333,6.93,,COCD,,,,OPEN STAR CLUSTER
NGC 6205,g,o,250.422,36.46,59.008,40.913,0.075,0.275,0.47,9,83,118,7107,0.021,10.1,,HARR,glo,-1.445,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Platais 1,,,322.515,49,92.581,-1.632,0.02,0.063,0.14,4,22,118,3508,0.854,8.2,,DIAS,,,,OPEN STAR CLUSTER
FSR 0317,,,323.154,53.755,96.116,1.573,0.015,0.053,0.095,7,54,118,1934,0.833,8.8,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 7128,,,325.961,53.725,97.336,0.447,0.01,0.05,0.09,5,48,118,2301,1.099,7.26,,DIAS,,,,OPEN STAR CLUSTER
NGC 7429,,,343.973,59.96,108.937,0.266,0.02,0.075,0.125,4,49,118,1250,0.949,8.08,,DIAS,,,,OPEN STAR CLUSTER
FSR 0775,,,81.424,34.957,172.653,-0.304,0.015,0.07,0.14,3,36,117,1300,0.57,8.72,0.13,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0890,r,c,95.782,23.199,189.136,4.522,0.02,0.075,0.14,6,36,117,1522,0.583,7.5,,FPOS,,,,OPEN STAR CLUSTER
NGC 2259,,,99.633,10.875,201.79,2.111,0.025,0.1,0.18,13,66,117,3060,0.687,8.625,,DIAS,,0.07,,OPEN STAR CLUSTER
NGC 2262,,,99.915,1.14,210.573,-2.1,0.018,0.065,0.14,9,41,117,2511,0.625,8.995,0.025,DIAS,,-0.4,,OPEN STAR CLUSTER
FSR 1180,,,108.922,-9.41,224.063,1.042,0.012,0.08,0.155,2,33,117,1000,0,8.675,,FPRO,,,,OPEN STAR CLUSTER
NGC 2627,,,129.33,-29.945,251.584,6.669,0.02,0.09,0.165,9,54,117,2712,0.104,9.225,0.037,COCD,,-0.12,0.08,OPEN STAR CLUSTER
ESO 313-12,r,o,130.964,-40.225,260.578,1.469,0.015,0.06,0.12,5,30,117,1401,1.145,8.5,,DIAS,,,,OPEN STAR CLUSTER
Trumpler 27,,,264.09,-33.52,355.064,-0.749,0.02,0.135,0.25,4,43,117,1266,1.208,7.58,,COCD,,-0.193,0.09,OPEN STAR CLUSTER
Trumpler 35,,,280.748,-4.23,28.205,-0.053,0.02,0.08,0.14,3,46,117,1273,1.166,8.15,,DIAS,,,,OPEN STAR CLUSTER
FSR 0251,,,310.103,42.95,82.329,0.716,0.015,0.055,0.12,5,27,117,857,1.041,8.7,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0342,,,331.971,53.117,99.78,-2.24,0.015,0.06,0.13,5,39,117,1942,0.65,8.275,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0366,r,c,334.683,59,104.361,1.749,0.012,0.06,0.14,3,33,117,5610,1.103,8.715,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0611,r,o,39.383,56.405,137.264,-3.486,0.018,0.075,0.165,5,26,116,1000,0.5,8.75,,DIAS,irc,,,OPEN STAR CLUSTER
Dias 2,,,92.28,4.585,203.966,-7.263,0.02,0.09,0.18,4,40,116,2973,0.416,9.27,0.02,DIAS,,,,OPEN STAR CLUSTER
FSR 1077,,,100.515,-0.883,212.649,-2.489,0.022,0.075,0.17,6,27,116,1298,0.416,8.935,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 2571,,,124.736,-29.735,249.095,3.542,0.015,0.12,0.19,1,64,116,1339,0.139,7.35,,COCD,,0.05,,OPEN STAR CLUSTER
C1331-622,,,203.655,-62.417,307.907,0.037,0.018,0.075,0.12,7,53,116,1078,0.271,9.25,,DIAS,var,,,OPEN STAR CLUSTER
FSR 1650,,,203.913,-68.113,307.05,-5.595,0.012,0.09,0.155,2,45,116,4103,0.729,9,,FPOS,,,,OPEN STAR CLUSTER
Loden 995,,,208.575,-64.95,309.526,-2.886,0.02,0.105,0.165,5,47,116,1481,0.458,8.625,,COCD,,-0.131,0.09,OPEN STAR CLUSTER
FSR 1696,r,c,225.3,-57.665,319.608,0.943,0.015,0.07,0.115,2,45,116,1148,0.625,8.61,,FPRO,,,,OPEN STAR CLUSTER
vdBergh-Hagen 200,,,252.483,-44.205,341.135,0.269,0.01,0.07,0.115,3,37,116,1633,1.041,7.5,,DIAS,,,,OPEN STAR CLUSTER
BDSB 139,n,o,290.608,14.12,48.998,-0.294,0.015,0.045,0.085,6,39,116,5950,1.562,6.1,,BIRN,irc,,,NEBULA
MWSC 4555,,,304.387,-11.35,32.235,-24.201,0.02,0.17,0.25,4,66,116,1740,0.146,9.505,0.056,AIPk,,,,OPEN STAR CLUSTER
NGC 6991A,m,o,313.614,47.466,87.398,1.624,0.05,0.225,0.445,6,51,116,565,0.125,9.055,0.033,COCD,,,,UNIDENTIFIED
Mayer 1,,,5.514,61.741,119.461,-0.933,0.015,0.06,0.115,4,35,115,1430,0.5,7.74,,COCD,,,,OPEN STAR CLUSTER
NGC 1896,,,81.414,29.26,177.374,-3.497,0.015,0.065,0.125,4,33,115,2600,0.6,9.1,,COCD,,,,OPEN STAR CLUSTER
BDSB 73,,,85.388,35.861,173.65,2.899,0.025,0.1,0.185,5,39,115,1110,0.541,8.875,,FPRO,,,,OPEN STAR CLUSTER
Ivanov 4,,,105.157,-8.84,221.845,-1.995,0.01,0.075,0.155,1,29,115,2025,0.521,8.3,0.055,DIAS,,,,OPEN STAR CLUSTER
NGC 2414,,,113.287,-15.455,231.407,1.934,0.012,0.09,0.14,4,63,115,2874,0.583,7.27,,COCD,,,,OPEN STAR CLUSTER
Ruprecht 78,,,142.26,-53.71,275.699,-1.902,0.01,0.075,0.125,2,37,115,1706,0.437,7.25,,COCD,,,,OPEN STAR CLUSTER
NGC 4439,,,187.118,-60.11,300.071,2.634,0.025,0.075,0.125,7,45,115,1659,0.312,7.71,,COCD,,,,OPEN STAR CLUSTER
FSR 1690,r,o,218.083,-53.7,317.635,6.267,0.02,0.075,0.12,5,48,115,1850,0.666,9.135,,FPOS,,,,OPEN STAR CLUSTER
NGC 6171,g,o,248.133,-13.054,3.373,23.01,0.035,0.13,0.23,9,82,115,6397,0.333,10.1,,HARR,glo,-0.945,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 6737,,,285.584,-18.533,17.449,-10.663,0.025,0.11,0.17,7,66,115,2037,0.791,8.9,,DIAS,non,,,OPEN STAR CLUSTER
FSR 0270,,,316.046,44.345,86.15,-1.699,0.01,0.045,0.095,3,37,115,1758,0.854,8.255,,DIAS,irc,,,OPEN STAR CLUSTER
