name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
SAI 1,,,2.112,51.724,116.183,-10.584,0.012,0.045,0.065,2,13,19,1905,0.312,9.27,,DIAS,,,,OPEN STAR CLUSTER
BDSB 51,r,o,17.152,63.118,124.872,0.311,0.01,0.045,0.065,2,14,19,12002,1.68,8.15,,BOPN,irc,,,OPEN STAR CLUSTER
FSR 0584,,,36.803,61.628,134.052,0.842,0.012,0.05,0.093,2,11,19,2009,1.041,9.1,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0606,r,o,66.729,73.38,136.886,16.669,0.03,0.07,0.11,4,11,19,2499,0.72,8.476,0.074,FPOS,,,,OPEN STAR CLUSTER
MWSC 5010,,,94.575,86.035,127.317,26.489,0.02,0.077,0.13,3,8,19,3553,0.146,9.45,,ARIn,,,,OPEN STAR CLUSTER
Czernik 27,r,c,105.78,6.413,208.535,5.508,0.015,0.05,0.085,1,7,19,4338,0.042,8.995,,DIAS,,-0.38,,OPEN STAR CLUSTER
ESO 367-10,,,109.26,-35.29,247.344,-10.512,0.01,0.045,0.07,3,8,19,3027,0.916,8.315,0.119,DIAS,,,,OPEN STAR CLUSTER
Teutsch 49,,,109.609,-17.575,231.598,-2.176,0.015,0.065,0.11,3,14,19,3369,1.749,8.9,,DIAS,,,,OPEN STAR CLUSTER
Mamajek 1,m,o,130.47,-79.045,292.492,-21.672,0.03,0.19,0.42,1,5,19,112,0,6.99,,COCD,,,,UNIDENTIFIED
MWSC 5042,r,c,140.273,-7.475,239.305,28.477,0.02,0.135,0.2,1,9,19,1762,0.219,9.5,,ARIn,,,,OPEN STAR CLUSTER
NGC 3324,n,o,159.33,-58.635,286.223,-0.183,0.017,0.08,0.15,2,7,19,2361,0.729,6.1,,COCD,,-0.474,0.14,NEBULA
Trumpler 14,n,o,160.98,-59.555,287.409,-0.583,0.015,0.07,0.13,3,12,19,2248,0.75,6,,COCD,,,,NEBULA
MWSC 5088,,,167.185,-32.53,279.052,25.536,0.02,0.095,0.185,1,9,19,2831,0.125,9.225,,ARIn,,,,OPEN STAR CLUSTER
Collinder 333,,,262.905,-34.01,354.117,-0.188,0.01,0.075,0.13,1,11,19,1051,1.062,8.15,,COCD,,,,OPEN STAR CLUSTER
IRAS 18306-0500,,,278.334,-4.971,26.443,1.745,0.01,0.045,0.09,2,11,19,2023,2.394,7.8,,BIEM,irc,,,OPEN STAR CLUSTER
DB2001 17,,,310.317,41.86,81.565,-0.077,0.01,0.045,0.07,3,13,19,4227,2.082,6.4,,BIEM,irc,,,OPEN STAR CLUSTER
Kronberger 55,,,358.267,62.778,116.314,0.659,0.012,0.02,0.04,4,8,19,1988,0.958,7.38,,DIAS,,,,OPEN STAR CLUSTER
IRAS 05553+1631,,,89.55,16.525,192.165,-3.826,0.02,0.048,0.075,7,15,18,8885,2.04,8.55,,BIEM,irc,,,OPEN STAR CLUSTER
FSR 1317,r,c,98.535,-34.944,243.437,-18.432,0.018,0.052,0.09,2,9,18,2180,0.645,8.6,,FPOS,,,,OPEN STAR CLUSTER
FSR 1087,,,119.725,7.95,213.411,18.59,0.01,0.065,0.11,1,12,18,2376,0.375,9,,FPOS,,,,OPEN STAR CLUSTER
FSR 1345,,,130.21,-25.375,248.349,10.023,0.02,0.11,0.173,4,10,18,2330,1.749,6.95,,FPOS,,,,OPEN STAR CLUSTER
DBSB 36,,,139.2,-47.945,270.274,0.842,0.015,0.07,0.13,1,10,18,748,2.269,7.5,,BOPN,irc,,,OPEN STAR CLUSTER
Trumpler 11,,,151.226,-61.6,284.442,-4.86,0.018,0.075,0.12,2,14,18,3884,0.167,8.155,0.003,DIAS,,,,OPEN STAR CLUSTER
DBSB 176,,,254.857,-42.575,343.487,-0.046,0.012,0.05,0.085,2,10,18,7693,1.77,7.795,0.072,BIRN,irc,,,OPEN STAR CLUSTER
NGC 6573,r,c,273.413,-22.13,9.049,-2.089,0.02,0.053,0.095,5,8,18,3032,1.062,8.8,,DIAS,non,,,OPEN STAR CLUSTER
Bica 3,,,276.516,-13.05,18.452,-0.411,0.01,0.05,0.1,0,11,18,1614,2.29,7.2,,DIAS,,,,OPEN STAR CLUSTER
Kronberger 73,,,303.442,36.749,74.316,1.267,0.01,0.035,0.06,2,8,18,2685,1.103,8.83,,DIAS,,,,OPEN STAR CLUSTER
DB2001 20,,,309.654,42.657,81.897,0.798,0.015,0.05,0.08,2,9,18,1818,1.249,7.5,,BIEM,irc,,,OPEN STAR CLUSTER
IC 5146,,,328.373,47.265,94.394,-5.506,0.02,0.08,0.165,1,5,18,770,1.145,6,,DIAS,,,,OPEN STAR CLUSTER
MWSC 5811,r,c,345.765,-12.315,57.856,-60.615,0.02,0.125,0.24,1,12,18,1261,0.146,9.425,,ARIs,,,,OPEN STAR CLUSTER
MWSC 5604,,,47.453,-42.88,251.4,-57.903,0.017,0.1,0.2,1,7,17,1437,0.042,9.2,,ARIs,,,,OPEN STAR CLUSTER
"S 242,Sh2 242",,,88.053,26.958,182.445,0.228,0.01,0.05,0.1,1,9,17,2186,0.937,6.4,,BIEM,irc,,,OPEN STAR CLUSTER
